scene_id,bank_id,base_map_cluster_id,canonical_base_map_digest,regenerated_canonical_base_map_digest,observation_noise_binding_sha256,regenerated_observation_noise_binding_sha256,role,maps_match,canonical_foundation_identity_match,csi_clean_match,csi_repeat_match,observation_noise_seed_binding_match,free_space_match,phase_reference_ids_match,phase_reference_values_match,phase_reference_source_sha256_match,noop_maps_match,path_ids_match,path_power_match,path_surface_ids_match,noop_path_ids_match,noop_path_power_match,noop_path_surface_ids_match,passed,artifact_label,dataset_sha256,config_sha256,fixture,scientific_use,source_tree_sha256,requirements_lock_sha256,runtime_provenance_sha256
osm-sionna-source-chicago-bank-00,osm-sionna-source-chicago-bank-00,osm-foundation-source-chicago-00,ae3ccfade5dfa51535fa2845cb4b424fecae573daa6a7aadcec63771ad8c6d19,ae3ccfade5dfa51535fa2845cb4b424fecae573daa6a7aadcec63771ad8c6d19,481ac77130a79512c3fc308247fdafc62edfa52d541bd07c6ccbf97c3aea2ad4,481ac77130a79512c3fc308247fdafc62edfa52d541bd07c6ccbf97c3aea2ad4,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-austin-bank-00,osm-sionna-source-austin-bank-00,osm-foundation-source-austin-00,cf8c4334e8894775385d68eed9d148585afd255919dc86114a82bfdc4af5f4e0,cf8c4334e8894775385d68eed9d148585afd255919dc86114a82bfdc4af5f4e0,fe1b2321cf39fdd06b23862ec8235dcdf39f7a61c1d930c5a535f02992aca40e,fe1b2321cf39fdd06b23862ec8235dcdf39f7a61c1d930c5a535f02992aca40e,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-chicago-bank-01,osm-sionna-source-chicago-bank-01,osm-foundation-source-chicago-01,827c778a1b924377c62d3db9383bcc2fc9b8e77d52e670bfa6b7f795d152da98,827c778a1b924377c62d3db9383bcc2fc9b8e77d52e670bfa6b7f795d152da98,ae8e50664efd33c5489ef133c090541c8757a6172ac63f6c3ee14b51eec032bc,ae8e50664efd33c5489ef133c090541c8757a6172ac63f6c3ee14b51eec032bc,source_method_selection,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-austin-bank-01,osm-sionna-source-austin-bank-01,osm-foundation-source-austin-01,24d99f6c46b8a80b43b7b804ed7ff9388e37108f11eb999461adbd1c45c44b68,24d99f6c46b8a80b43b7b804ed7ff9388e37108f11eb999461adbd1c45c44b68,85355e416c2ef113b1f77e02d3899b77c640e64e9ebfe530cf6bd066d805b46a,85355e416c2ef113b1f77e02d3899b77c640e64e9ebfe530cf6bd066d805b46a,source_method_selection,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-chicago-bank-02,osm-sionna-source-chicago-bank-02,osm-foundation-source-chicago-02,300414b5058833534ba0c8445578b197be3d1e5cb04c25b44d8257a9427e7a38,300414b5058833534ba0c8445578b197be3d1e5cb04c25b44d8257a9427e7a38,1c50a566bd79d50f46b1aa29e909409d1f343c98fa040ccba3ac5ef1c9d1a0bf,1c50a566bd79d50f46b1aa29e909409d1f343c98fa040ccba3ac5ef1c9d1a0bf,source_probe_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-austin-bank-02,osm-sionna-source-austin-bank-02,osm-foundation-source-austin-02,c7dab0975fa22129f4eb4397580f3b4ab668c10226da0fb54b048736e86cb037,c7dab0975fa22129f4eb4397580f3b4ab668c10226da0fb54b048736e86cb037,f19c25dc559d3369b53d0fb99028a140f364639c7f9386e21c822de3bf8412d5,f19c25dc559d3369b53d0fb99028a140f364639c7f9386e21c822de3bf8412d5,source_probe_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-chicago-bank-03,osm-sionna-source-chicago-bank-03,osm-foundation-source-chicago-03,30583fa63ec234c5589d10e03807e7e90455b07c3938bdad3367f8af00d45c15,30583fa63ec234c5589d10e03807e7e90455b07c3938bdad3367f8af00d45c15,cb400ff7be09715036f32809b0c55af01a6a67cf400c325684d3a6d455999274,cb400ff7be09715036f32809b0c55af01a6a67cf400c325684d3a6d455999274,source_probe_selection,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-austin-bank-03,osm-sionna-source-austin-bank-03,osm-foundation-source-austin-03,dc5f3c42b01567f16d11a0f4e024e66a0e38807cc0d21c3727f484dc73b35576,dc5f3c42b01567f16d11a0f4e024e66a0e38807cc0d21c3727f484dc73b35576,9abf7be3870af67bdcb05468cff2cd60b41bac634120370fa69350e86eef5543,9abf7be3870af67bdcb05468cff2cd60b41bac634120370fa69350e86eef5543,source_probe_selection,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-chicago-bank-04,osm-sionna-source-chicago-bank-04,osm-foundation-source-chicago-04,5814c1e7c6458cb47b2fee4971e4f61e88b2893ae6068876a5b9e8e851b5fb7e,5814c1e7c6458cb47b2fee4971e4f61e88b2893ae6068876a5b9e8e851b5fb7e,56918a3c41a0f6301ecd006cd9f258d25d59672c05bd882bbb415ae00903dbc1,56918a3c41a0f6301ecd006cd9f258d25d59672c05bd882bbb415ae00903dbc1,source_calibration_fit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
osm-sionna-source-austin-bank-04,osm-sionna-source-austin-bank-04,osm-foundation-source-austin-04,33e07b80762b28f397d52356f4a6ad63dbee9e198f9cfed24188ddb9c10a3218,33e07b80762b28f397d52356f4a6ad63dbee9e198f9cfed24188ddb9c10a3218,ebeddbd3e12f8c4d29d327fc0340ed986c37f0493d2cf500e1a76a6613fe69e9,ebeddbd3e12f8c4d29d327fc0340ed986c37f0493d2cf500e1a76a6613fe69e9,source_calibration_fit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,e89034302d6c4a64c838c244a60ad7c42b081e760ef2c9fc548440b0d5458d2e,50a0515956027ee8241f0c9b806f669f65dbe28c11e1274cfb94b486c862f91c,False,CANDIDATE_NOT_CLAIM,338f6164f6c464982ea408f61eff2b21b4aa7da5c366a4237da405a45e9f55e0,f372fcd1988e712a47f01e6018289c0bc076f14b1f2d3ab1231f82b9a19b89c8,446154f660c945f9c9e5d2cba50602fc2e91de5cec9a700d712e38a6b0fb6863
